diameter,closeness,clustering,betweenness,edit count,editor count,article size
34,0.1438191237341049,0.09152368143147321,0.006909663276157222,3203,947,236550
31,0.1487441528655855,0.07589529941125185,0.00683130528405672,2079,913,75028
25,0.1556257577817758,0.11064784265438746,0.013083844159456404,1389,454,50797
25,0.16062521512747482,0.09472669906979078,0.008525441597698639,2557,664,96732
38,0.11584502639132992,0.04392917887934736,0.017901088013587616,937,469,80162
23,0.1557849826989637,0.06872637493656106,0.010727196665539894,1274,546,62401
28,0.12152535748012702,0.1227010973963953,0.03669904869764049,1121,214,50512
34,0.10966632210440729,0.030244024055080757,0.037126528409380355,661,245,44616
33,0.14643089907174275,0.07162513160704745,0.0031088384889999413,5569,2016,129708
38,0.13072123321224874,0.0639817013782901,0.0024715601171827486,8958,2890,141330
27,0.16061779466535697,0.0693896233316526,0.0031520838852377316,4485,1771,155511
47,0.13232779489303845,0.05070818398244425,0.002171466424400614,6546,3287,88700
30,0.12809348976612245,0.05750588620242852,0.031019563418346382,552,241,36140
41,0.1701882452606844,0.12142998258782428,0.003789608255237905,3770,1426,53317
35,0.13079033801464365,0.035501093803060116,0.0022182683546610395,7506,3209,135912
27,0.165109400460032,0.08276199667002147,0.0028410177496836055,5477,1944,93404
34,0.1415703560211359,0.06816990264405588,0.01871432519871774,1054,366,44399
39,0.12225983344989343,0.03783886706739349,0.014193222223950367,1115,553,98695
35,0.1104330544287616,0.05197191955045243,0.00713999855712637,2553,1220,50532
46,0.12377382730281104,0.05553272468975862,0.002713548994282597,8223,2834,132813
29,0.11292287972859853,0.05224636894846822,0.01347851224498965,1961,622,99826
36,0.12418962047906107,0.03386433706698528,0.014011132944816101,1482,559,69738
45,0.09445538986745776,0.04173966089916205,0.010076243194975328,2182,1049,71596
47,0.09890184451951152,0.03169686840002746,0.004493973869554946,5107,2180,162661
43,0.14113218767138244,0.08395550338415389,0.004733798750232824,4532,1458,132608
51,0.12312199998249272,0.05282241308245596,0.003961594437781356,4771,2004,131504
35,0.14023127975307634,0.06021295160628034,0.005442588237055525,3050,1220,79500
34,0.156866430804413,0.11665214210725552,0.03573187147350727,1016,180,75436
34,0.11056583616188798,0.028791149532408862,0.04667460669923426,444,188,35884
32,0.159289173943262,0.08925676694986902,0.0018907541120691718,6644,3030,79572
45,0.07431838412147039,0.032115001030684535,0.034856388521153206,1016,395,29632
65,0.06800662881833891,0.0835066012787394,0.03309264078670348,1600,451,41311
26,0.16164906977880528,0.05605258298506104,0.0017596913638543087,9311,3104,154430
31,0.10600589760180669,0.022041201078311777,0.03290673545319231,604,284,43597
33,0.11640566576235568,0.049962400847327545,0.009041618815227935,1829,924,67058
25,0.1506463034006426,0.05430757230298287,0.002231876340498313,6538,2680,131642
39,0.11697257817314832,0.03717598338164735,0.0026742845488002273,7283,2997,201298
46,0.14832097190367294,0.08649365635225366,0.0059150213819208,2826,1102,51737
35,0.10292988446798593,0.025282197171679205,0.03242250454535251,605,300,36944
27,0.17326196464757154,0.09551753770198664,0.0009034609893684449,15191,5637,221561
40,0.1554552606090839,0.08374894445854492,0.0036852375076412737,4026,1600,123665
23,0.2429275754294005,0.23085666541436348,0.0011775029719077986,9464,2852,148893
22,0.18755252731679026,0.13487798291531028,0.009126512864436836,1962,527,89780
28,0.18723797780679005,0.10610865176243915,0.002921664729505905,4128,1631,133412
43,0.10221956770464366,0.04748610390223655,0.012201123078014115,1767,799,60447
34,0.10402306088507383,0.043757667735106386,0.052355470466386285,378,180,26681
33,0.1449203325989501,0.07966820349632159,0.014899759437574562,1542,442,88765
36,0.16256184906119794,0.1143927847904577,0.0037195901947586164,4009,1531,81920
29,0.17895247210710954,0.09389400143771774,0.008092462603406575,1910,618,78253
42,0.08996212218077869,0.027514167011687247,0.014595358750281355,1407,740,32252
28,0.17346608234308236,0.15517055849199446,0.02108868352788586,759,257,21248
25,0.18773387495943678,0.11226019761229122,0.0010683694009566156,15043,4291,104385
55,0.10622380515809719,0.05050966092560785,0.013926484804376358,1779,681,101225
39,0.1364053195902355,0.0570160555762523,0.0077970011553592615,2365,892,103639
26,0.1834384616739605,0.15524424958457417,0.0277559990496555,1286,185,128120
35,0.1258399211791721,0.028450507905738668,0.002027121589183568,8383,3623,121750
34,0.1349367396290811,0.040371316303514246,0.0023956807110946973,6743,2847,134902
60,0.12046552539984957,0.032294725384429214,0.004207754784087357,3829,1903,64516
42,0.11422497670716783,0.08863828915857125,0.00674030704796815,3200,1288,89070
18,0.17956812261176713,0.08112789419252955,0.022149277264477452,1095,227,98288
32,0.14581637217678775,0.12255382597440231,0.06574837952099036,547,103,84697
43,0.10490675797911107,0.07323753607708514,0.028083920196673613,1272,342,76404
26,0.17101415011939597,0.07582779668513243,0.0025507319302832563,5530,2023,215477
27,0.18119099691903517,0.1110308687214102,0.0019431605458445941,8426,2488,165147
40,0.1137797984834614,0.06783280188611827,0.023100593713107073,1137,381,84061
31,0.11106085362793018,0.027680311207925124,0.00299862210421647,5598,2807,90354
30,0.14194299432604257,0.03975092104951988,0.002310917707414453,6603,2738,130593
42,0.1469606029205586,0.08260262408859442,0.0028210133650500243,6928,2296,167179
28,0.15156391307652195,0.055845840379046434,0.003084281360115497,4998,1945,120562
31,0.14938197204710396,0.07264827198934545,0.0061153534285752495,2661,1006,129701
21,0.17805247028510315,0.12494806969911391,0.015258363198304216,1507,335,72675
67,0.1380775868756868,0.09130168811443812,0.007398969997615098,2450,983,114305
26,0.21094764709740813,0.12749970359236543,0.0060427270474410115,2408,688,131092
44,0.10127523804920952,0.044028622228156546,0.010044017718276847,2254,995,96869
34,0.10951264256779884,0.037597663459278376,0.010952563988381236,1538,801,96102
24,0.17210767711192554,0.07229393723220191,0.0012364263199397007,9991,4143,153081
28,0.17232662901613668,0.09041380148426072,0.004835690596619387,3116,1074,103757
35,0.1387811162053504,0.05027641357914941,0.0021932713821838025,8951,3008,193324
34,0.14366073211034106,0.06116928714400626,0.0010250608486357716,15365,6155,141131
71,0.07837661681566499,0.030944381101878863,0.012131988547296588,2689,1128,117040
31,0.18944596902083208,0.1521849802723596,0.0020384036558786242,6805,2281,104310
28,0.13531933030747148,0.06146973688201767,0.008287927717968917,2363,828,81313
32,0.154978421024463,0.1256050011882917,0.00655305650459813,4426,920,161125
42,0.11016867708574149,0.040217525493142635,0.0068478232428712225,2502,1258,66183
29,0.12378470507278161,0.06438850316225543,0.03560169349855088,557,221,48891
32,0.12673262521195053,0.03987303687187134,0.004748253179621597,3659,1544,131758
33,0.11026548264148474,0.07414494315647724,0.030434893766222382,681,292,47875
36,0.17969734688443373,0.12696417882844005,0.0009175561111587425,14717,5427,173752
37,0.17379074851867665,0.1812006254148536,0.008710238428669428,2894,649,94733
38,0.14030461846260356,0.05297089133810243,0.00652014477514682,2988,1034,70262
41,0.09652333720652735,0.02853261152884387,0.012415254078082994,1803,806,64977
29,0.1674132909169003,0.12139327631459833,0.0011137643108086973,15914,4752,203859
44,0.11070753555656528,0.06459503906292478,0.016080254674645918,1346,561,65556
43,0.152922566018385,0.056336348051105045,0.0011919926968015854,13363,4956,169027
25,0.1937897120609593,0.1251814310616547,0.0006232656047038238,25509,7030,293351
34,0.1256053689999042,0.029769081315567675,0.006875277053282881,2700,1095,94268
48,0.09966986856048093,0.027966123518426648,0.010561567600085045,1909,939,61804
35,0.12420655487347722,0.06071345883266832,0.008151242498975848,2415,964,60589
34,0.15272020334758454,0.07130066717573122,0.004347337001188012,3944,1395,160586
44,0.13256016965542178,0.07764876998441184,0.010585568115119353,2146,696,77050
46,0.1227332611429914,0.03461096917403576,0.007754829022678555,2366,1009,62142
35,0.13763239239106334,0.06855984979705615,0.010644695707339783,1671,655,57727
40,0.13031815110399184,0.05015476656775011,0.010235336059931736,1720,710,103776
34,0.11282362893330013,0.029629922454333508,0.01663042905002331,1101,518,106956
28,0.1899449949490408,0.12861096769242303,0.0035231059314913445,3290,1351,93039
56,0.12151171719704955,0.053569049227674456,0.0029194615967985268,7194,2702,184627
40,0.12697003108647606,0.05597511557259575,0.0032709872592202095,5323,2282,146975
40,0.12317624115071865,0.042653335155129306,0.0023506429389775715,6703,3251,81595
29,0.11403427056598142,0.06478091493851966,0.03213330248213969,659,260,77591
63,0.08001986058609159,0.04322181237305981,0.012856174509612305,1721,981,35799
39,0.13230500635881265,0.0269303424406401,0.0032730296787355324,4386,2148,120847
37,0.14446357364647106,0.08182478665731488,0.0017451682105890424,11119,3707,264391
57,0.14560431084726064,0.0950939984551598,0.0023180771559024953,7836,2809,133534
34,0.15731505636735882,0.06658612203161465,0.002434371855064333,5742,2386,94602
58,0.13545829552418143,0.05056260655143626,0.0013273201468558748,13592,5198,126637
25,0.15875898708134079,0.061635971291869006,0.0058138604642828185,2865,992,112082
49,0.11887973826677799,0.048385272142645284,0.0021790083829128053,9641,3772,214989
53,0.08054017661308942,0.03980225941233386,0.026788524563549507,1934,491,66302
29,0.1622391004799675,0.10778756602492236,0.0024659802840317118,6492,2247,172847
33,0.13597195736996814,0.042273891249717664,0.0026033181696854023,6910,2641,112738
33,0.1401338311673215,0.06053118871211618,0.0023500322950833316,6910,2809,68313
37,0.09822947346076664,0.024605146674195083,0.016858718106678085,1330,590,86580
43,0.13031872452153603,0.046028935125718984,0.002977134174630801,5922,2410,103728
43,0.10853626812835418,0.09478082397617682,0.07564048140369692,693,140,46604
26,0.16559471763221686,0.07336710473721562,0.0024394373494355244,6557,2200,226169
59,0.1462722173196236,0.18046422302657636,0.01714768604575168,2156,430,131102
30,0.12701420595341512,0.041376059847472293,0.006397003058341863,2799,1158,85280
36,0.13404228895268966,0.05289483287986974,0.004118127466027206,3819,1693,218753
20,0.2035116638300297,0.1572621593676285,0.010033087909625715,1185,426,47945
23,0.17950150869647427,0.12708306361805244,0.006146879830648175,3926,792,223473
29,0.1724705563352189,0.13524775924054064,0.0032369102651587816,5263,1634,87490
29,0.15451570980264212,0.061825198179641924,0.006874527822152602,1920,866,74386
43,0.13718576138334498,0.037748413909450565,0.0024093564645096383,5780,2810,78752
33,0.12803532418247318,0.06305245424050422,0.005700849513265856,2854,1292,140088
34,0.14748781357512447,0.06583622637251955,0.00837143072451453,1685,746,92651
31,0.1510449604995591,0.04620789434966338,0.002732651327473302,4965,2204,96155
43,0.08796488428357237,0.07406425108484271,0.054603307320698624,532,209,51919
66,0.06807552221155849,0.024272979624558877,0.014558567579810696,2169,1025,79341
27,0.13557459456846002,0.06594317614848294,0.009282286946510166,1992,755,59306
32,0.14384364645447287,0.04043661291048314,0.0023067369292886024,6600,2723,129036
31,0.13903384194886978,0.08029520656982005,0.01973987352911142,1406,347,77354
51,0.09711976390342755,0.08548920806168653,0.020613007942911193,1464,503,33757
42,0.10612070030046947,0.03254775585629077,0.00986179427723201,1890,932,151187
37,0.1271762819105105,0.03256908924231883,0.0025573719734621526,6826,2860,140156
36,0.15105766113918404,0.0665568179335324,0.002144878374849282,7799,2787,140870
37,0.14243129586555192,0.05180485550171375,0.00264967738154606,5606,2484,64035
38,0.1365497038460795,0.08063378048276748,0.006535720640022147,2511,1058,114485
43,0.1374556586635378,0.05135230269462456,0.003291011469761979,5714,2088,142495
40,0.1363223460192418,0.05919305108511832,0.00198720384067981,7551,3427,117995
73,0.06734693674774321,0.027306602925797972,0.0490012468128037,561,323,51596
31,0.12954628507806953,0.03414801601325706,0.006749450589344044,2082,1062,31522
31,0.11462830838975101,0.0240692151543848,0.00601192627613352,2883,1367,86173
29,0.11464103629350227,0.0288049542684337,0.02508902372144661,637,329,42045
39,0.13311561101381014,0.03821491037462293,0.0036005628386705174,4440,1950,92580
45,0.11373354721003398,0.03297142878009437,0.002507676613780173,7701,3330,156645
40,0.1293969508547204,0.0886941626982796,0.018185024898056686,1066,419,56120
34,0.1273483554215971,0.06760529592868436,0.006825664475447489,2492,1091,59699
39,0.17472859365765098,0.098053783249962,0.0026561247227166983,5516,1912,131288
26,0.1916237338375337,0.1328471417586134,0.029948256630927563,803,163,53285
46,0.13794742355337403,0.07371438489354688,0.0014231591041792618,12111,4708,151222
50,0.09530979283635771,0.05597686276871999,0.02474280725023911,1036,446,62977
45,0.09555951729808547,0.0416848202967777,0.02123012594957166,1229,497,35139
35,0.1447517112210492,0.06889731521272341,0.0042511190318628034,3615,1524,63097
54,0.07321184345520418,0.03017237582643137,0.008734437139422018,3528,1542,116962
43,0.14703124144695057,0.0546309594620769,0.002647677660642664,5445,2397,149468
28,0.15979209171008274,0.08817842461953641,0.006978891997162405,3214,821,140402
38,0.1258972471495542,0.07786430082229347,0.005462935085667952,3318,1419,85306
30,0.20455135051524767,0.1595106249013155,0.0015132107991022003,8036,2811,152653
62,0.09486539631738049,0.047950335129225134,0.005363688516437473,6093,1977,242229
30,0.129095108099521,0.04389260084851158,0.008098709583829163,2128,900,92890
41,0.12350830177442292,0.0568929494264772,0.003702524810466098,5048,2066,116762
37,0.13424072367507453,0.04714276953184866,0.003755788825716397,3818,1853,79086
36,0.17041646547654682,0.09564767151169783,0.0012716344740877066,12634,4103,191492
39,0.12893635842804105,0.0628291989326379,0.003971015238664595,4636,1831,128391
37,0.13667694699527458,0.03181907208054244,0.0026579008312854232,5530,2535,92537
25,0.1574495915238727,0.08819707831919478,0.006970854056679801,3215,828,168859
36,0.11689601039608324,0.062345345819084456,0.008659960816895382,2383,942,92237
27,0.1485338871893919,0.05439041870848417,0.0026328684925105944,4846,2351,70389
26,0.14904260663733224,0.04529087257696584,0.0018297953527588338,7551,3289,125962
34,0.0928693477249404,0.03691401738756145,0.05091550525244525,508,212,34119
31,0.1522528641751693,0.06604501977539078,0.002348511323608014,6727,2574,159253
56,0.12316305849164953,0.0322882244555741,0.0022544661594096752,7805,3390,153982
26,0.1438140017243719,0.06300704181389272,0.004425975301599021,3383,1436,111741
44,0.11913292380299471,0.054386474399453336,0.0032091931854583665,5907,2514,185771
38,0.10274451483221508,0.04060867481018351,0.008541403753226241,2418,1101,79031
27,0.14870966730188404,0.07206889183527512,0.015123476348444336,1230,414,77572
33,0.16903981499446621,0.0690315095705709,0.0021215083311146707,6899,2500,142378
32,0.12401615933387836,0.07838046293102187,0.025840159172766355,899,304,56583
40,0.125085446026183,0.033968204487864875,0.0021078362956881732,8411,3559,170665
48,0.126468806880796,0.053703963527735654,0.007613509899605554,2599,1017,91461
34,0.10590980858703151,0.06498120595299957,0.012755158443829934,1675,710,108740
19,0.2474502630420727,0.17534617838449876,0.016140412309723334,1408,216,59936
34,0.15096512045927749,0.05061833738931921,0.0013168564251824187,10132,4510,88917
51,0.13574456033839555,0.088122598611536,0.0022112073692585285,6986,3201,131091
51,0.11003830865859493,0.05326195008912744,0.009546398502761603,2295,927,79303
65,0.09421821958947746,0.06846452178205184,0.032371129757629784,934,368,69547
41,0.13122777144415212,0.04958837963100792,0.003613302239137652,6482,1956,153432
26,0.14349673340407595,0.040375850792618594,0.002037736537105295,7021,3095,124903
39,0.11776198575516679,0.05199438930588335,0.009189409773404364,2440,900,98175
23,0.16368048992998205,0.09696402375240143,0.004181204844113864,3659,1308,90599
30,0.11178911882078187,0.031777866210317314,0.015636533342600956,1227,548,59893
35,0.10469718331695914,0.0348780854421016,0.009415981554732214,2118,971,66281
41,0.14645122763836904,0.07024718970667058,0.001115523566659727,13662,5643,196336
37,0.1325923282885583,0.03609783806225202,0.002024416615513525,7595,3425,190992
46,0.11479596956428068,0.058050211292958356,0.003544951280337939,6313,2381,183974
46,0.08926694544242268,0.04717045460551954,0.04884879059931272,563,231,31928
