title,diameter,closeness,clustering,betweenness,edit count,editor count,article size,class
Euclidean algorithm,29,0.1339267679364183,0.08880394006563713,0.01045062341684344,2313,670,121346,FA
Manta ray,46,0.09374973267830299,0.02723691980203741,0.009046047457830551,2581,1177,52174,FA
Octopus,27,0.15995091194180613,0.05867065452309475,0.002160502527123116,6330,2587,104416,FA
Samantha Smith,42,0.15113409277631668,0.0711056086374027,0.01079883338089456,1428,613,39490,FA
Æthelbald of Mercia,35,0.11283674865004521,0.029142920006754884,0.05394054522711053,462,163,29801,FA
Millipede,65,0.08779222539777072,0.034829812725571,0.0133233894130181,1715,906,72959,FA
Tadeusz Kościuszko,33,0.14729869139026977,0.055278546309512254,0.006032429692233214,3692,1057,86734,FA
George Fox,71,0.0797568229945197,0.038372560294802745,0.025064958114931667,1718,549,46181,FA
Speed of light,35,0.14926193480758723,0.10580257968209869,0.002058715571968887,9424,3031,128945,FA
Demosthenes,33,0.11577189667901526,0.039305676335841325,0.009958340373434871,2404,832,137159,FA
William Tecumseh Sherman,35,0.14144231003868854,0.04542729893507555,0.0040201567921150675,3856,1633,115787,FA
Stigand,28,0.201075848593832,0.14070073852640505,0.02315780666034473,829,197,52767,FA
"Keswick, Cumbria",39,0.10729527385920756,0.0475446820222769,0.0241455875989992,1009,377,97572,FA
Wilco,55,0.09676807416544327,0.03682071924385036,0.011199197103088875,1911,935,71834,FA
Asser,28,0.13386035989331896,0.054740268319025814,0.03921672293019406,452,184,30398,FA
Edward Elgar,25,0.18481567311406955,0.10522779725611445,0.005205277773186898,2950,918,110502,FA
Jimi Hendrix,40,0.14098853576016945,0.07176437842291435,0.0016169007650127785,13512,4092,153733,FA
Sideshow Bob,67,0.09541982715212785,0.09051236298361162,0.009123938962131978,2432,1191,53283,FA
Morihei Ueshiba,32,0.11743382195529115,0.05326840272242453,0.01825119885242914,1182,447,52268,FA
Augustine of Canterbury,68,0.13865610152156235,0.12730080211499803,0.015664771275046327,1424,491,47386,FA
Niels Bohr,61,0.1176593121735806,0.03622167208638089,0.0035861012100337143,5072,2305,82697,FA
Georgette Heyer,34,0.10151302546132437,0.020749175341346782,0.03714188757145728,604,269,42948,FA
J. R. R. Tolkien,31,0.16687218165965675,0.07353155185852162,0.001399688945087842,9277,3814,164674,FA
George Bernard Shaw,58,0.12369600175542016,0.06335528155689818,0.004019279123757477,5419,1962,158250,FA
Colorado River,41,0.13676187286655775,0.0590832552541926,0.0055393341700337335,3219,1245,218931,FA
Aaron Sorkin,42,0.11076587710426071,0.051899006467508425,0.008888685652359524,2623,991,101701,FA
Tamil language,27,0.16168214857430535,0.08541741387442463,0.002300379011866322,6450,2425,91182,FA
Flag of Germany,52,0.08172914719281978,0.022235943334369263,0.009530233897927651,2283,1278,69780,FA
W. B. Yeats,60,0.11164730150050882,0.0310857083836535,0.00456093722600187,4167,1915,61547,FA
Edward II of England,34,0.11430126114022199,0.038318425943305055,0.006324472752577115,2808,1318,141777,FA
Orpheus in the Underworld,33,0.13859487668637682,0.0826595224062917,0.032799932325180026,856,213,83396,FA
Theramenes,64,0.04387542842126992,0.017191989705078712,0.12311027714720192,359,191,46107,FA
Louis Riel,30,0.14382817866629674,0.045156627614378275,0.003804264413175565,4193,1651,101738,FA
Gustav Mahler,26,0.15400778518730282,0.053884816474960434,0.004296924753493042,3605,1367,97241,FA
Mysore,33,0.12992097249101825,0.07069067593362624,0.004361582788903133,4551,1640,103037,FA
Pedro I of Brazil,42,0.13426105634193367,0.12819501931829397,0.01066291232751008,2334,713,97116,FA
Julianne Moore,33,0.13942539342957286,0.07566841474207754,0.004778957406199012,3194,1404,134724,FA
Ming dynasty,62,0.11625230681282626,0.057477195890712304,0.0045549335543900605,5537,1905,134456,FA
Vannevar Bush,66,0.06750624003111272,0.044753643668229155,0.022721785434108535,1528,682,75632,FA
Lead,36,0.14220876852252434,0.058052409840646316,0.0026284255018509156,7460,2447,163910,FA
Theramenes,64,0.04387542842126992,0.017191989705078712,0.12311027714720192,359,191,46107,FA
Blade Runner,29,0.1930690365670855,0.11939622865010156,0.0015888795592158339,7652,2817,120533,FA
Unas,38,0.09047781876549288,0.0320883683829311,0.02373044395128791,1012,456,61948,FA
Gwen Stefani,30,0.13471664933248623,0.06176618387247328,0.0014362341193507459,10915,4729,99000,FA
Sega CD,50,0.09830955713538718,0.05903930695657852,0.01514609933529216,1519,668,45808,FA
Terry Fox,41,0.13663216485529406,0.045205457810839615,0.0036026111087195545,4305,1863,68097,FA
Basiliscus,50,0.07030283064911155,0.04631078850841869,0.048079386586098,593,298,27078,FA
The Cloisters,34,0.14317786190110657,0.12292828029430419,0.021488951838637527,3152,328,76392,FA
Brad Pitt,44,0.13255024162024745,0.05737715425533069,0.0017851034887102495,9501,3933,143001,FA
243 Ida,27,0.11819458064321124,0.06874011113688552,0.025930893530050462,827,307,57432,FA
Ukiyo-e,35,0.12546311069578153,0.08543803019426251,0.01793815560228196,1630,458,116604,FA
Æthelred of Mercia,27,0.11474078475519728,0.02933245966976942,0.058840869449200285,388,143,30521,FA
Privy Council of the United Kingdom,30,0.10136012068134248,0.013170910087458552,0.01899680216110236,975,495,78720,FA
Dengue fever,50,0.09989907052502062,0.05351821401962952,0.006665736322049747,3677,1484,80917,FA
Casablanca (film),23,0.1986847498318683,0.13792803576727544,0.0025293990003589645,4629,1723,103268,FA
Chelsea F.C.,25,0.18439221536580513,0.10467036955554747,0.0008505125461606053,18262,5565,121434,FA
Neville Chamberlain,64,0.12389841586252355,0.054190084071529136,0.005277593113389163,3986,1518,121839,FA
Jack Parsons (rocket engineer),35,0.11879866926365883,0.058712968203144755,0.018054496668345684,2575,454,120207,FA
Isaac Brock,35,0.129984555206261,0.03852592138588832,0.007970100930088667,2049,913,61853,FA
Cerebellum,51,0.1148489275800094,0.04544961259512684,0.00901141218577601,2256,939,93018,FA
D. B. Cooper,87,0.12027693289488374,0.081011995775623,0.0031266808455837937,6309,2694,137109,FA
H.D.,55,0.063887641761344,0.0312974201478708,0.03863118520624971,996,403,36780,FA
Tennessine,34,0.14849737479537456,0.10618891220498625,0.009929581744368733,2075,636,64899,FA
George V,29,0.20267276575634272,0.13833869773548066,0.0027928090995565746,3996,1571,89514,FA
Taiwanese indigenous peoples,33,0.1253546996088809,0.07551975613727653,0.009850516210267024,2794,772,162396,FA
Chagas disease,50,0.10477335966300934,0.028903053389402245,0.015056340978366972,1478,643,60721,FA
